"CÓDIGO";"PRODUCTO";"CATEGORÍA";"Unidad de medida";"Cantidad x pres.";"Peso X presentación";"MINORISTA                   Precio x presentación";"MINORISTA         Precio Unitario";"MAYORISTA                   Precio x presentación";"MAYORISTA         Precio Unitario3";"DISTRIBUIDOR                   Precio x presentación";"DISTRIBUIDOR         Precio Unitario3";;
"HCC5";"Harina Integral Pan ""CAMPO CLARO"" - x 5 Kg.";"H A R I N A S";"BOLSA";5;5,00;" $9.575,40 ";" $1.915,08 ";" $7.979,50 ";" $1.595,90 ";" $6.383,60 ";" $1.276,72 ";;
"HCC25";"Harina Integral Pan ""CAMPO CLARO"" - x 25 Kg.";"H A R I N A S";"BOLSA";25;25,00;" $44.938,69 ";" $1.797,55 ";" $37.448,91 ";" $1.497,96 ";" $29.959,13 ";" $1.198,37 ";;
"HMT31";"Harina de Trigo Integral Organica 000 ""MAYAL"" - x 1 Kg";"H A R I N A S";"KG";1;1,00;" $2.160,00 ";" $2.160,00 ";" $1.800,00 ";" $1.800,00 ";" $1.440,00 ";" $1.440,00 ";;
"HMT35";"Harina de Trigo Integral Organica 000 ""MAYAL"" - x 5 Kg";"H A R I N A S";"BOLSA";5;5,00;" $9.711,00 ";" $1.942,20 ";" $8.092,50 ";" $1.618,50 ";" $6.474,00 ";" $1.294,80 ";;
"HMT325";"Harina de Trigo Integral Organica 000 ""MAYAL"" - x 25 Kg";"H A R I N A S";"BOLSA";25;25,00;" $44.460,00 ";" $1.778,40 ";" $37.050,00 ";" $1.482,00 ";" $29.640,00 ";" $1.185,60 ";;
"HMT41";"Harina de Trigo Integral Organica 0000 ""MAYAL"" - x 1 Kg";"H A R I N A S";"KG";1;1,00;" $2.340,00 ";" $2.340,00 ";" $1.950,00 ";" $1.950,00 ";" $1.560,00 ";" $1.560,00 ";;
"HMT45";"Harina de Trigo Integral Organica 0000 ""MAYAL"" - x 5 Kg";"H A R I N A S";"BOLSA";5;5,00;" $10.881,00 ";" $2.176,20 ";" $9.067,50 ";" $1.813,50 ";" $7.254,00 ";" $1.450,80 ";;
"HMT425";"Harina de Trigo Integral Organica 0000 ""MAYAL"" - x 25 Kg";"H A R I N A S";"BOLSA";25;25,00;" $49.374,00 ";" $1.974,96 ";" $41.145,00 ";" $1.645,80 ";" $32.916,00 ";" $1.316,64 ";;
"HMC1";"Harina Centeno Organica ""MAYAL"" - x 1 Kg";"H A R I N A S";"KG";1;1,00;" $3.294,00 ";" $3.294,00 ";" $2.745,00 ";" $2.745,00 ";" $2.196,00 ";" $2.196,00 ";;
"HMC5";"Harina Centeno Organica ""MAYAL"" - x 5 Kg";"H A R I N A S";"BOLSA";5;5,00;" $15.234,75 ";" $3.046,95 ";" $12.695,63 ";" $2.539,13 ";" $10.156,50 ";" $2.031,30 ";;
"HMC20";"Harina Centeno Organica ""MAYAL"" - x 20 Kg";"H A R I N A S";"BOLSA";20;20,00;" $55.449,00 ";" $2.772,45 ";" $46.207,50 ";" $2.310,38 ";" $36.966,00 ";" $1.848,30 ";;
"HME1";"Harina Espelta ""MAYAL"" x 1 kg.";"H A R I N A S";"KG";1;1,00;" $4.752,00 ";" $4.752,00 ";" $3.960,00 ";" $3.960,00 ";" $3.168,00 ";" $3.168,00 ";;
"HME5";"Harina Espelta ""MAYAL"" x 5 kg.";"H A R I N A S";"BOLSA";5;5,00;" $22.248,00 ";" $4.449,60 ";" $18.540,00 ";" $3.708,00 ";" $14.832,00 ";" $2.966,40 ";;
"HMM1";"Harina de maiz ""MAYAL"" x 1 kg.";"H A R I N A S";"KG";1;1,00;" $2.052,00 ";" $2.052,00 ";" $1.710,00 ";" $1.710,00 ";" $1.368,00 ";" $1.368,00 ";;
"HMM5";"Harina de maiz ""MAYAL"" x 5 kg.";"H A R I N A S";"BOLSA";5;5,00;" $9.288,00 ";" $1.857,60 ";" $7.740,00 ";" $1.548,00 ";" $6.192,00 ";" $1.238,40 ";;
"HA1";"Harina de Almendra x 1 Kg.";"H A R I N A S";"KG";1;1,00;" $4.875,00 ";" $4.875,00 ";" $4.062,50 ";" $4.062,50 ";" $3.250,00 ";" $3.250,00 ";;
"HA10";"Harina de Almendra x 10 Kg.";"H A R I N A S";"PACK";10;10,00;" $45.000,00 ";" $4.500,00 ";" $37.500,00 ";" $3.750,00 ";" $30.000,00 ";" $3.000,00 ";;
"HFM1";"Fécula de Mandioca ""ALDEMA"" x 1 Kg.";"H A R I N A S";"UNIDAD";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"HFM1B";"Fécula de Mandioca ""ALDEMA"" x Bolsa 10 u. x 1 Kg.";"H A R I N A S";"PACK";10;10,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"HFAG1";"Fécula de Mandioca ""AG"" x 1 Kg.";"H A R I N A S";"UNIDAD";1;1,00;" $1.950,00 ";" $1.950,00 ";" $1.625,00 ";" $1.625,00 ";" $1.300,00 ";" $1.300,00 ";;
"HFM25";"Fécula de Mandioca  x 25 Kg.";"H A R I N A S";"BOLSA";25;25,00;" $37.800,00 ";" $1.512,00 ";" $31.500,00 ";" $1.260,00 ";" $25.200,00 ";" $1.008,00 ";;
"HMP1";"Maca peruana "" Kallpa""  x 500 grs.";"H A R I N A S";"UNIDAD";1;0,50;" $1.852,50 ";" $1.852,50 ";" $1.543,75 ";" $1.543,75 ";" $1.235,00 ";" $1.235,00 ";;
"HMP100";"Maca peruana "" Kallpa"" Bolsa x 100 u.";"H A R I N A S";"BOLSÓN";100;50,00;" $171.000,00 ";" $1.710,00 ";" $142.500,00 ";" $1.425,00 ";" $114.000,00 ";" $1.140,00 ";;
"HMPR1";"Maca peruana "" Kallpa"" ROJA x 500 grs.";"H A R I N A S";"UNIDAD";1;0,50;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"HMPN1";"Maca peruana NEGRA x 150 grs.";"H A R I N A S";"UNIDAD";1;0,20;" $1.725,00 ";" $1.725,00 ";" $1.437,50 ";" $1.437,50 ";" $1.150,00 ";" $1.150,00 ";;
